name,description,category,price,currency,quantity,sku,tags,productType
Kalamkari Dupatta | Peacock Border Motif,Lightweight cotton dupatta with intricate Kalamkari peacock border and scattered floral motifs. Vegetable-dyed — skin-friendly.,Kalamkari,1599,INR,8,KAL-004,"kalamkari,dupatta,peacock,floral,cotton",physical
Kalamkari Table Runner | Star & Floral Pattern,60-inch cotton table runner with Kalamkari star-and-floral pattern. Adds a traditional touch to any dining table.,Kalamkari,699,INR,15,KAL-005,"kalamkari,table runner,floral,star,home decor",physical
Dhokra Brass Elephant Figurine | Tribal Solid Cast,Solid lost-wax cast brass elephant in the ancient Dhokra tradition of Bastar. Each piece varies slightly — authenticity guaranteed.,Dhokra Craft,1799,INR,6,DHO-001,"dhokra,brass,elephant,tribal,bastar,solid cast",physical
Dhokra Jewellery Set | Necklace & Earrings,Dokra tribal jewellery set with a statement necklace and drop earrings. Oxidised brass with geometric tribal patterns.,Dhokra Craft,1299,INR,10,DHO-002,"dhokra,jewellery,necklace,earrings,tribal,brass",physical
Dhokra Wall Hanging | Tribal Mask Face,Expressive tribal face wall hanging made using Dhokra lost-wax technique. Raw oxidised brass finish — bold statement piece.,Dhokra Craft,2199,INR,4,DHO-003,"dhokra,wall hanging,tribal mask,brass,statement",physical
Dhokra Candle Stand | Tribal Horse Design,Pair of Dhokra brass candle stands shaped as stylised tribal horses. Stable base with a wide wax tray. Sold as a pair.,Dhokra Craft,999,INR,8,DHO-004,"dhokra,candle stand,horse,tribal,pair,brass",physical
Dhokra Key Hooks | 5-Hook Rustic Wall Panel,Wall-mounted key holder with 5 Dhokra-style brass hooks on a wooden panel. Rustic industrial aesthetic for entryways.,Dhokra Craft,649,INR,12,DHO-005,"dhokra,key hooks,wall panel,rustic,entryway",physical
Block Print Bedsheet Set | Rajasthani Floral,King-size pure cotton bedsheet set (1 bedsheet + 2 pillow covers) with hand block-printed Rajasthani floral motifs in natural indigo.,Block Print Textiles,1999,INR,10,BLP-001,"block print,bedsheet,rajasthani,floral,indigo,cotton",physical
Block-Printed Cotton Kurta | Indigo Geometric,Men's straight-cut cotton kurta with bold indigo geometric block print. Breathable fabric — ideal for summers. Available S–XXL.,Block Print Textiles,1499,INR,15,BLP-002,"block print,kurta,indigo,geometric,men,cotton",physical
Block Print Tote Bag | Yellow Sunflower Design,Canvas tote bag with a cheerful sunflower block print in golden yellow. Reinforced stitching and flat base for stability.,Block Print Textiles,599,INR,22,BLP-003,"block print,tote bag,sunflower,yellow,canvas",physical
Block-Printed Stole | Indigo & Red Geometric Pattern,Pure cotton stole with traditional geometric block print in deep indigo and rust red. Lightweight and versatile year-round.,Block Print Textiles,1299,INR,12,BLP-004,"block print,stole,indigo,red,geometric,cotton",physical
Block-Printed Cotton Bedsheet | Sanganeri Floral,Double-size bedsheet with delicate Sanganeri-style floral block print in soft pastels on white cotton. Includes 2 pillow covers.,Block Print Textiles,1799,INR,8,BLP-005,"block print,bedsheet,sanganeri,floral,pastel,cotton",physical
Pattachitra Canvas Painting | Jagannath Triad,Hand-painted Pattachitra depicting Lord Jagannath with Balabhadra and Subhadra in the traditional Odisha style. Natural stone colours on canvas.,Pattachitra,3499,INR,3,PAT-001,"pattachitra,jagannath,canvas,odisha,traditional,religious",physical
Pattachitra Silk Saree | Traditional Odisha Motif,Handloom silk saree with woven Pattachitra-inspired Jagannath border and richly detailed pallu. Ceremonial yet wearable.,Pattachitra,4999,INR,3,PAT-002,"pattachitra,silk saree,odisha,jagannath,handloom",physical
Pattachitra Wall Panel | Fish & Lotus,Vibrant Pattachitra painting on palm leaf panel — fish and lotus motifs in bold natural colours. Framed in lacquered cane.,Pattachitra,1999,INR,5,PAT-003,"pattachitra,wall panel,fish,lotus,palm leaf",physical
Pattachitra Utility Box | Lacquered Wood,Wooden utility box with Pattachitra-painted lid depicting birds and flowers. Perfect as a keepsake or stationery box.,Pattachitra,1299,INR,8,PAT-004,"pattachitra,box,lacquered,wood,utility,gift",physical
Pattachitra Lamp | Jackfruit Wood & Scroll Art,Table lamp with a jackfruit wood base and a Pattachitra-painted fabric shade. Warm ambient glow — a true collector's piece.,Pattachitra,2499,INR,4,PAT-005,"pattachitra,lamp,jackfruit wood,scroll art,lighting",physical
Clay Pot Planter Set | Rustic Herb Pots,Set of 3 terracotta herb planters in graduating sizes with hand-painted botanical motifs. Drainage holes included. Ideal for windowsill gardens.,Clay Moulding,799,INR,12,CLY-001,"clay,terracotta,planter,herb pots,rustic,garden",physical
Clay Ganesha Idol | Eco-friendly Festive Edition,Hand-moulded Ganesha idol in natural clay — eco-friendly and water-soluble. Perfect for Ganesh Chaturthi festivals. 12-inch height.,Clay Moulding,499,INR,20,CLY-002,"clay,ganesha,eco-friendly,festive,idol,natural",physical
Clay Wall Plate | Madhubani-Inspired Design,Decorative terracotta wall plate with Madhubani-style painted motifs. Kiln-fired and sealed — suitable for indoor display.,Clay Moulding,649,INR,10,CLY-003,"clay,wall plate,madhubani,terracotta,decor",physical
Clay Terracotta Jewellery | Necklace Set,Lightweight terracotta necklace set with hand-painted geometric and floral patterns. Natural and earthy — pairs well with ethnic wear.,Clay Moulding,549,INR,15,CLY-004,"clay,terracotta,jewellery,necklace,handpainted",physical
Clay Wind Chimes | Bird & Leaf Mobile,Cheerful terracotta wind chime with hand-sculpted bird and leaf pendants. Produces soft melodious tones in the breeze.,Clay Moulding,449,INR,18,CLY-005,"clay,wind chimes,bird,leaf,terracotta,garden",physical
Brass Puja Thali Set | Engraved Floral Design,Premium brass puja thali set (thali + diya + bell + incense holder + small bowl). Intricate floral engraving all over. Gifting box included.,Brass Work,2199,INR,6,BRS-001,"brass,puja thali,engraved,floral,religious,gift",physical
Brass Diyas | Set of 6 | Festive Lotus Design,Set of 6 hand-finished brass diyas in a lotus petal design — ideal for Diwali and daily puja. Polished gold finish.,Brass Work,899,INR,20,BRS-002,"brass,diya,lotus,festive,diwali,set of 6",physical
Brass Door Knocker | Peacock Design,Solid cast brass door knocker shaped in an elegant peacock form. Heavy-duty — suitable for wooden and metal doors. Antique finish.,Brass Work,1599,INR,5,BRS-003,"brass,door knocker,peacock,antique,solid cast",physical
Brass Incense Holder | Dragon Design,Long boat-shaped brass incense stick holder with intricate dragon motif engraving. Catches ash cleanly — easy to clean.,Brass Work,749,INR,14,BRS-004,"brass,incense holder,dragon,engraved,puja",physical
Brass Ganesh Idol | Antique Finish,Detailed hand-cast brass Ganesha idol in a seated blessing pose. Antique oxidised finish highlights fine craftsmanship. 8-inch height.,Brass Work,2999,INR,4,BRS-005,"brass,ganesh,antique,idol,religious,handcast",physical
Pashmina Shawl | Kashmir Hand-Embroidered Sozni,Authentic Grade A Pashmina shawl with fine needle-work Sozni embroidery by Kashmiri artisans. Ultra-soft and warm. Certificate of authenticity included.,Kashmiri Crafts,5999,INR,4,KAS-001,"pashmina,kashmiri,shawl,embroidery,sozni,luxury",physical
Kashmiri Walnut Wood Box | Carved Floral,Hand-carved walnut wood jewellery box with detailed floral and vine motifs from Srinagar craftsmen. Velvet-lined interior.,Kashmiri Crafts,3499,INR,5,KAS-002,"kashmir,walnut wood,carved,box,jewellery,srinagar",physical
Kashmir Papier Mâché Bowl | Multicolour Chinar,Hand-painted Kashmiri papier mâché bowl with colourful Chinar leaf motifs on a black lacquered base. Decorative — not for food.,Kashmiri Crafts,1199,INR,8,KAS-003,"kashmir,papier mache,chinar,bowl,lacquered,painted",physical
Kashmiri Crewel Cushion Cover | Floral Vines,Luxury cushion cover with hand-embroidered crewel work in vibrant floral vine patterns on natural wool fabric. 18×18 inch.,Kashmiri Crafts,1499,INR,7,KAS-004,"kashmir,crewel,cushion,floral,wool,embroidery",physical
Kashmir Sozni Embroidered Dupatta | Pure Silk,Pure silk dupatta with delicate Sozni needle-work floral border — a signature of Kashmiri textile craftsmanship. Rich and lightweight.,Kashmiri Crafts,4499,INR,3,KAS-005,"kashmir,sozni,dupatta,silk,embroidery,luxury",physical
Phulkari Dupatta | Punjab Hand-Embroidered Silk,Traditional Phulkari silk dupatta with vibrant multi-coloured floral thread embroidery by Punjabi artisans. Festive and celebratory.,Phulkari,3299,INR,5,PHU-001,"phulkari,punjab,dupatta,silk,embroidery,festive",physical
Phulkari Tote Bag | Yellow Bagh Pattern,Cotton canvas tote bag with machine-embroidered Phulkari Bagh pattern in bold yellow and red. Large and durable — everyday use.,Phulkari,999,INR,15,PHU-002,"phulkari,tote bag,bagh,yellow,embroidery",physical
Phulkari Table Cloth | Cotton 6-seater,6-seater rectangular cotton tablecloth with colourful Phulkari embroidered border and corner motifs. Machine washable.,Phulkari,1799,INR,8,PHU-003,"phulkari,tablecloth,cotton,embroidery,dining",physical
Phulkari Cushion Covers | Set of 2 | Geometric,Set of 2 cotton cushion covers with traditional Phulkari geometric embroidery in red and gold. Fits 16×16 inch inserts.,Phulkari,899,INR,10,PHU-004,"phulkari,cushion covers,geometric,embroidery,set of 2",physical
Phulkari Wall Tapestry | Floral Abundance,Large wall tapestry (36×48 inch) with richly embroidered Phulkari floral pattern in rainbow threads. Includes hanging rod.,Phulkari,2499,INR,4,PHU-005,"phulkari,wall tapestry,floral,embroidery,large",physical
Gond Art Canvas | Tiger & Jungle,Traditional Gond painting of a majestic tiger in a dense jungle rendered in intricate dot-and-line patterns. Acrylic on canvas.,Gond Art,2799,INR,5,GON-001,"gond,tiger,jungle,canvas,tribal,madhya pradesh",physical
Gond Art Print | Birds on a Dot-Tree,Vibrant Gond art print featuring colourful birds perched on a tree made of swirling dots. Printed on archival-quality paper.,Gond Art,999,INR,20,GON-002,"gond,birds,dot art,print,colorful,archival",physical
Gond Art Tribal Mask | Wall Décor,Hand-carved and Gond-painted tribal mask for wall display. Vivid natural dye patterns — a statement piece from Madhya Pradesh.,Gond Art,1499,INR,6,GON-003,"gond,tribal mask,wall decor,carved,natural dye",physical
Gond Art Notebook | Handmade Covers,A5 notebook with hand-drawn Gond art cover featuring an elephant motif. 100 ruled pages on recycled cream paper.,Gond Art,449,INR,30,GON-004,"gond,notebook,handmade,elephant,A5",physical
Gond Art Silk Scarf | Fish & Floral Pattern,Hand-painted pure silk scarf with a flowing Gond fish-and-flower pattern. Lightweight and luxurious — 60×20 inch size.,Gond Art,1299,INR,8,GON-005,"gond,scarf,fish,silk,floral,handpainted",physical
Macramé Wall Hanging | Boho Fringe Art 24 inch,Large 24-inch macramé wall hanging in natural cotton rope with layered fringe and wooden dowel. Bohemian home décor staple.,Macramé,1199,INR,10,MAC-001,"macrame,wall hanging,boho,fringe,cotton,natural",physical
Macramé Plant Hanger | Set of 3 | Natural Cotton,Set of 3 knotted cotton macramé plant hangers in 3 sizes. Holds pots up to 8 inches. Perfect for indoor plants.,Macramé,599,INR,18,MAC-002,"macrame,plant hanger,cotton,set of 3,indoor plants",physical
Macramé Table Runner | Natural Ivory Knot Pattern,Handknotted macramé table runner in natural ivory cotton. 60 inches long — ideal for dining or console tables.,Macramé,849,INR,12,MAC-003,"macrame,table runner,ivory,cotton,knotted,dining",physical
Macramé Mirror Frame | Boho Style 18 inch,18-inch round mirror with a thick handknotted macramé cotton frame. Ready to hang — adds warmth and texture to any wall.,Macramé,1499,INR,6,MAC-004,"macrame,mirror frame,boho,round,cotton,wall decor",physical
Macramé Earrings | Ochre & White Tassel Drop,Lightweight handknotted macramé drop earrings in ochre and white. Brass hooks — hypoallergenic. 3.5 inch length.,Macramé,299,INR,35,MAC-005,"macrame,earrings,tassel,ochre,white,lightweight",physical
Bamboo Wind Chimes | 7-Tube Deep Resonance,7-tube bamboo wind chime with deep resonant tones. Handcrafted and lacquered — suitable for outdoor and indoor use.,Bamboo & Cane Craft,699,INR,15,BAM-001,"bamboo,wind chimes,7-tube,resonance,outdoor",physical
Bamboo Pen Stand | Eco Desk Organizer,Multi-compartment bamboo pen and stationery organiser. Smooth and sanded natural finish. Eco-friendly office décor.,Bamboo & Cane Craft,449,INR,25,BAM-002,"bamboo,pen stand,eco,desk organizer,stationery",physical
Bamboo Photo Frame | Set of 3 Sizes,Set of 3 natural bamboo photo frames (4×6 / 5×7 / 8×10 inch). Tabletop and wall-mount compatible. Landscape and portrait modes.,Bamboo & Cane Craft,799,INR,12,BAM-003,"bamboo,photo frame,set of 3,natural,eco-friendly",physical
Cane Fruit Basket | Large Woven Rattan,Large hand-woven rattan cane fruit basket with sturdy handles. Natural finish — adds organic texture to kitchen counters.,Bamboo & Cane Craft,999,INR,8,BAM-004,"cane,basket,rattan,woven,fruit,kitchen",physical
Bamboo Candle Holder | Set of 4 Cylindrical,Set of 4 cylindrical bamboo candle holders in graduated heights. Eco-friendly and minimal — ideal for table centrepieces.,Bamboo & Cane Craft,549,INR,15,BAM-005,"bamboo,candle holder,cylindrical,set of 4,eco",physical
Jute Tote Bag | Hand-Painted Elephant Art,Natural jute tote bag with a hand-painted elephant artwork. Reusable and biodegradable. Reinforced handles for heavy loads.,Jute Craft,499,INR,25,JUT-001,"jute,tote bag,elephant,handpainted,eco,reusable",physical
Jute Lampshade | Boho Fringe Pendant,Woven jute pendant lampshade with fringe detailing. Fits standard pendant fittings. Creates warm dappled light — boho aesthetic.,Jute Craft,1299,INR,6,JUT-002,"jute,lampshade,boho,fringe,pendant,lighting",physical
Jute Storage Basket Set | 3 Sizes | Handles Included,Set of 3 woven jute storage baskets (small / medium / large) with cotton rope handles. Nursery and living room organiser.,Jute Craft,849,INR,10,JUT-003,"jute,basket,storage,set of 3,handles,organizer",physical
Jute Wall Art | Lotus in Bloom Panel,Hand-woven jute wall panel depicting a lotus in bloom. Mounted on a driftwood frame — rustic and nature-inspired wall décor.,Jute Craft,699,INR,8,JUT-004,"jute,wall art,lotus,driftwood,handwoven,rustic",physical
Jute Table Mat Set | 6 Pieces | Bordered Edge,Set of 6 round jute table mats (15-inch diameter) with a stitched cotton border. Heat-resistant and washable.,Jute Craft,399,INR,20,JUT-005,"jute,table mat,set of 6,round,dining,heat resistant",physical
Embroidered Silk Purse | Zardosi Work Clutch,Evening clutch purse in dupion silk with intricate Zardozi gold thread embroidery. Magnetic snap closure. Padded interior.,Embroidery & Needlework,1999,INR,5,EMB-001,"embroidery,silk,zardosi,purse,clutch,gold thread",physical
Kantha Quilt | Double Size | Reversible Floral,Double-size Kantha quilt with dense running-stitch embroidery in floral patterns. Reversible — different patterns on each side. Lightweight summer quilt.,Embroidery & Needlework,3499,INR,4,EMB-002,"kantha,quilt,double size,reversible,floral,embroidery",physical
Chikankari Kurti | White Lucknow Embroidery,White georgette kurti with authentic hand-done Chikankari floral embroidery from Lucknow. Airy and elegant — sizes XS to XXL.,Embroidery & Needlework,1799,INR,8,EMB-003,"chikankari,kurti,lucknow,white,georgette,embroidery",physical
Embroidered Cushion Cover | Kashmiri Chain Stitch,Wool cushion cover with traditional Kashmiri Kashida chain-stitch embroidery in a bold floral design. 16×16 inch — insert not included.,Embroidery & Needlework,999,INR,10,EMB-004,"embroidery,cushion,kashmir,chain stitch,wool,floral",physical
Silk Thread Bookmark Set | Traditional Motifs,Set of 5 handmade bookmarks with silk thread embroidery featuring traditional Indian motifs — paisley / lotus / peacock / elephant / tree.,Embroidery & Needlework,349,INR,40,EMB-005,"silk,bookmark,traditional,embroidery,set of 5,gift",physical
Handmade Leather Journal | Embossed Elephant Cover,Genuine leather journal with a hand-tooled elephant embossed cover. 200 pages of acid-free cream paper. Tie closure — A5 size.,Leather Craft,1499,INR,8,LEA-001,"leather,journal,elephant,embossed,handmade,A5",physical
Leather Wallet | Hand-Tooled Floral Pattern,Full grain leather bi-fold wallet with hand-tooled floral pattern. 6 card slots and a bill compartment. Chocolate brown.,Leather Craft,1199,INR,12,LEA-002,"leather,wallet,floral,hand tooled,bi-fold,brown",physical
Leather Passport Holder | Rajasthani Block Print,Leather passport holder with a Rajasthani block-print lining inside. Holds passport + 4 cards + boarding pass. RFID safe.,Leather Craft,799,INR,15,LEA-003,"leather,passport holder,rajasthani,block print,RFID",physical
Camel Leather Coin Pouch | Jaisalmer Craft,Hand-stitched camel leather coin pouch from Jaisalmer artisans. Embossed geometric patterns — compact and durable.,Leather Craft,499,INR,22,LEA-004,"leather,coin pouch,jaisalmer,camel leather,embossed",physical
Leather Bookmarks | Set of 5 | Stamped Tribal,Set of 5 genuine leather bookmarks with stamped tribal patterns. Each bookmark has a unique design — ideal corporate gift.,Leather Craft,299,INR,45,LEA-005,"leather,bookmark,tribal,stamped,set of 5,gift",physical
Terracotta Horse | Bankura Style | Bishnupur,Iconic Bankura-style terracotta horse from Bishnupur craftsmen. Hand-moulded and kiln-fired. 10-inch decorative showpiece.,Terracotta,1599,INR,6,TER-001,"terracotta,horse,bankura,bishnupur,bengal,decorative",physical
Terracotta Wall Tile | Mandala Bas-Relief,Square terracotta wall tile (8×8 inch) with a raised mandala bas-relief design. Can be tiled for a wall feature or displayed individually.,Terracotta,899,INR,15,TER-002,"terracotta,wall tile,mandala,bas-relief,decorative",physical
Terracotta Pot | Painted Garden Planter,Hand-painted terracotta planter with geometric folk art patterns. Drainage hole and saucer included. Suitable for herbs and small plants.,Terracotta,649,INR,20,TER-003,"terracotta,pot,planter,garden,handpainted,folk art",physical
Terracotta Jewellery Set | Painted Floral,Lightweight terracotta jewellery set — necklace + earrings — hand-painted with delicate floral patterns and sealed for durability.,Terracotta,549,INR,15,TER-004,"terracotta,jewellery,floral,handpainted,necklace,earrings",physical
Terracotta Hanging Bells | Wind Chime Set,String of 7 hand-sculpted terracotta bells with natural cotton cord. Produces soft earthy tones — garden or porch décor.,Terracotta,399,INR,22,TER-005,"terracotta,bells,wind chime,garden,handmade,rustic",physical
Hand-Painted Ceramic Vase | Blue Pottery Style,Tall hand-painted ceramic vase inspired by Jaipur Blue Pottery tradition — white base with cobalt floral motifs. 10-inch height.,Ceramic & Pottery,1799,INR,6,CER-001,"ceramic,vase,blue pottery,jaipur,handpainted,floral",physical
Ceramic Masala Dabba | 7-Spice Pottery Set,Glazed ceramic masala dabba with 7 individual spice bowls and a lid. Hand-turned on a potter's wheel. Dishwasher safe.,Ceramic & Pottery,1299,INR,8,CER-002,"ceramic,masala dabba,spice set,pottery,handturned",physical
Blue Pottery Plate | Jaipur Traditional,Traditional Jaipur Blue Pottery plate (8-inch) with characteristic white base and cobalt blue floral patterns. Decorative — not microwave-safe.,Ceramic & Pottery,949,INR,12,CER-003,"blue pottery,plate,jaipur,traditional,cobalt,decorative",physical
Ceramic Trinket Dish | Mandala Hand-Painted,Small ceramic trinket dish with a hand-painted mandala design. Ring / key / coin holder. Glazed and kiln-fired finish.,Ceramic & Pottery,649,INR,20,CER-004,"ceramic,trinket dish,mandala,handpainted,glazed",physical
Ceramic Mug | Warli Art Print | 300ml,300ml ceramic coffee mug with Warli art screen print. Dishwasher and microwave safe. Gift-boxed. Perfect as a housewarming gift.,Ceramic & Pottery,449,INR,30,CER-005,"ceramic,mug,warli,art print,coffee,gift",physical
Pressed Flower Resin Tray | Botanical Art,Oval serving tray with real pressed wildflowers embedded in crystal-clear resin. Sealed and food-safe surface. Handcrafted and one-of-a-kind.,Mixed Media,1799,INR,6,MIX-001,"resin,pressed flower,botanical,tray,food safe,handcrafted",physical
Fabric Journal | Batik Wax Print Cover,A5 journal with a vibrant hand-wax-printed batik fabric cover. 160 cream pages — ruled. Elastic closure band.,Mixed Media,699,INR,20,MIX-002,"journal,batik,fabric,wax print,A5,handmade",physical
Driftwood & Shell Wall Art | Coastal Collection,Hand-assembled coastal wall art using natural driftwood and sea shells. Each piece is one-of-a-kind — unique composition of nature's offerings.,Mixed Media,2299,INR,4,MIX-003,"driftwood,shell,wall art,coastal,natural,one of a kind",physical
Handmade Paper Gift Box Set | Block Print & Craft,Set of 3 nesting gift boxes hand-crafted from recycled paper with block print wrapping. Eco-friendly gifting solution — ribbons included.,Mixed Media,599,INR,18,MIX-004,"handmade paper,gift box,block print,eco-friendly,set of 3",physical
Indian Art & Craft Sampler | Mini Gift Set,Curated mini gift set featuring 5 small handcrafted items across different Indian craft traditions — resin / clay / block print / DHokra / jute. Perfect introduction to Indian craft.,Mixed Media,2999,INR,5,MIX-005,"art,craft,sampler,gift set,indian,curated,mixed media",physical
